activity,modelElementId,status,sourceFileElementId,revitElementId
CH08-MY-161,2ddb66e7-726d-4382-bdcd-ac6d8bb4018d,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0b6,7983286
CH08-MY-161,4f113e96-d60a-4788-90ff-cc4a7b68feef,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d13e,7983422
CH08-MY-161,a49d1e9e-c69c-4e0c-8e11-7b0929ee808e,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0ba,7983290
CH08-MY-191,285610f6-0af7-4e20-ad2f-0cba51dd3bf9,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d052,7983186
CH08-MY-191,3a4d25b8-1e91-43fb-b0e1-bcc34486f786,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d13d,7983421
CH08-MY-191,57083d34-f154-46ce-b4aa-96eb4c40b960,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0c5,7983301
CH08-MY-191,5de08dce-a2bd-4c88-a02c-41692bceb0a4,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d147,7983431
CH08-MY-191,7f596f9d-3262-410e-bb72-310af740dea3,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0c6,7983302
CH08-MY-191,86ca7dd2-aacd-457f-9e9c-b17b98cce879,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0c4,7983300
CH08-MY-191,88d0567b-f322-4633-8ce1-c58e0c9a2835,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d146,7983430
CH08-MY-191,8ff44d3a-6f7f-47a7-a497-5603ed7bc9ca,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d14a,7983434
